,title,author,rating,voters,price,currency,description,publisher,page_count,generes,ISBN,language,published_date
10,Sword of Destiny: Witcher 2: Tales of the Witcher,Andrzej Sapkowski,4.8,383,43.28,SAR,"Geralt is a witcher, a man whose magic powers, enhanced by long training and a mysterious elixir, have made him a brilliant fighter and a merciless assassin. Yet he is no ordinary murderer: his targets are the multifarious monsters and vile fiends that ravage the land and attack the innocent. He roams the country seeking assignments, but gradually comes to realise that while some of his quarry are unremittingly vile, vicious grotesques, others are the victims of sin, evil or simple naivety.In this collection of short stories, following the adventures of the hit collection THE LAST WISH, join Geralt as he battles monsters, demons and prejudices alike . . .",Hachette UK,400,"Fiction , Fantasy , Dragons &amp, Mythical Creatures",9.78147E+12,English,"May 21, 2015"
11,The Mysterious Affair at Styles (Poirot),Agatha Christie,4.6,57,19.28,SAR,"Agatha Christie’s first ever murder mystery. With impeccable timing Hercule Poirot, the renowned Belgian detective, makes his dramatic entrance on to the English crime stage. Recently, there had been some strange goings on at Styles St Mary. Evelyn, constant companion to old Mrs Inglethorp, had stormed out of the house muttering something about ‘a lot of sharks’. And with her, something indefinable had gone from the atmosphere. Her presence had spelt security; now the air seemed rife with suspicion and impending evil. A shattered coffee cup, a splash of candle grease, a bed of begonias... all Poirot required to display his now legendary powers of detection.",HarperCollins UK,208,none,9.78001E+12,English,"Oct 14, 2010"
12,Riley Paige Mystery Bundle: Once Gone (#1) and Once Taken (#2),Blake Pierce,4.5,45,14.96,SAR,"A bundle of books #1 (ONCE GONE) and #2 (ONCE TAKEN) in Blake Pierce’s Riley Paige Mystery series—a #1 bestseller with over 400 five star reviews! This bundle offers books one and two in one convenient file, with over 100,000 words of reading. In ONCE GONE, women are turning up dead in the rural outskirts of Virginia, killed in grotesque ways, and when the FBI is called in, they are stumped. A serial killer is out there, his frequency increasing, and they know there is only one agent good enough to crack this case: Special Agent Riley Paige. Riley is on paid leave herself, recovering from her encounter with her last serial killer, and, fragile as she is, the FBI is reluctant to tap her brilliant mind. Yet Riley, needing to battle her own demons, comes on board, and her hunt leads her through the disturbing subculture of doll collectors, into the homes of broken families, and into the darkest canals of the killer’s mind. As Riley peels back the layers, she realizes she is up against a killer more twisted than she could have imagined. In ONCE TAKEN, women are being murdered in upstate New York, their bodies found mysteriously hanging in chains. With the FBI called in, given the bizarre nature of the murders—and the lack of any clues—there is only one agent they can turn to: Special Agent Riley Paige. Riley, reeling from her last case, is reluctant to take on a new one, since she is still convinced a former serial killer is out there, stalking her. She knows, though, that her ability to enter a serial killer’s mind and her obsessive nature is what will be needed to crack this case, and she just can’t refuse—even if it will push her over the edge. Dark psychological thrillers with heart-pounding suspense, the Riley Paige mysteries are a riveting new series—with a beloved new character—that will leave you turning pages late into the night. Book #3 in the series, ONCE CRAVED, is now also available.",Blake Pierce,250,none,9.78163E+12,English,"Jun 16, 2016"
13,Deadpool Kills the Marvel Universe,Cullen Bunn,4.2,"38,526",27.53,SAR,Collects Deadpool Kills the Marvel Universe #1-4. What if everything you thought was funny about Deadpool was actually just disturbing? What if he decided to kill everyone and everything that makes up the Marvel Universe? What if he actually pulled it off? Would that be FUN for you? The Merc with a Mouth takes a turn for the twisted in a horror comic like no other!,Marvel Entertainment,96,"Comics &amp, Graphic Novels , Superheroes",9.7813E+12,English,"May 21, 2014"
14,The Red Signal: An Agatha Christie Short Story,Agatha Christie,5,4,7.5,SAR,"A classic Agatha Christie short story, available individually for the first time as an ebook. Sir Alington, a venerable expert of the mental condition is being pestered by the pretty, but fairly dotty Mrs. Eversleigh about the importance of the sixth sense. Soon the young man Dermot is drawn in and tells both of having something like a sixth sense, what he calls the red signal that spells danger. He is about to tell them about the last time he had the feeling, the red signal, when he stops himself, the last time he had the signal was not then, it was earlier that very evening. But how could there be danger at a simple gathering of old friends? Will the evening’s entertainment of a medium bring forth whatever impending danger that Dermot senses?",HarperCollins UK,40,none,9.78001E+12,English,"Sep 1, 2011"
15,Crossroads of Twilight: Book Ten of 'The Wheel of Time',Robert Jordan,4.4,427,33.42,SAR,"The Wheel of Time ® is a PBS Great American Read Selection! Now in development for TV! Since its debut in 1990, The Wheel of Time® by Robert Jordan has captivated millions of readers around the globe with its scope, originality, and compelling characters.The Wheel of Time turns and Ages come and go, leaving memories that become legend. Legend fades to myth, and even myth is long forgotten when the Age that gave it birth returns again. In the Third Age, an Age of Prophecy, the World and Time themselves hang in the balance. What was, what will be, and what is, may yet fall under the Shadow.Fleeing from Ebou Dar with the kidnapped Daughter of the Nine Moons, whom he is fated to marry, Mat Cauthon learns that he can neither keep her nor let her go, not in safety for either of them, for both the Shadow and the might of the Seanchan Empire are in deadly pursuit.Perrin Aybara seeks to free his wife, Faile, a captive of the Shaido, but his only hope may be an alliance with the enemy. Can he remain true to his friend Rand and to himself? For his love of Faile, Perrin is willing to sell his soul.At Tar Valon, Egwene al'Vere, the young Amyrlin of the rebel Aes Sedai, lays siege to the heart of Aes Sedai power, but she must win quickly, with as little bloodshed as possible, for unless the Aes Sedai are reunited, only the male Asha'man will remain to defend the world against the Dark One, and nothing can hold the Asha'man themselves back from total power except the Aes Sedai and a unified White Tower.In Andor, Elayne Trakland fights for the Lion Throne that is hers by right, but enemies and Darkfriends surround her, plotting her destruction. If she fails, Andor may fall to the Shadow, and the Dragon Reborn with it.Rand al'Thor, the Dragon Reborn himself, has cleansed the Dark One's taint from the male half of the True Source, and everything has changed. Yet nothing has, for only men who can channel believe that saidin is clean again, and a man who can channel is still hated and feared-even one prophesied to save the world. Now, Rand must gamble again, with himself at stake, and he cannot be sure which of his allies are really enemies.TV series update: ""Sony will produce along with Red Eagle Entertainment and Radar Pictures. Rafe Judkins is attached to write and executive produce. Judkins previously worked on shows such as ABC’s “Agents of SHIELD,” the Netflix series “Hemlock Grove,” and the NBC series “Chuck.” Red Eagle partners Rick Selvage and Larry Mondragon will executive produce along with Radar’s Ted Field and Mike Weber. Darren Lemke will also executive produce, with Jordan’s widow Harriet McDougal serving as consulting producer."" —VarietyThe Wheel of Time®
New Spring: The Novel
#1 The Eye of the World
#2 The Great Hunt
#3 The Dragon Reborn
#4 The Shadow Rising
#5 The Fires of Heaven
#6 Lord of Chaos
#7 A Crown of Swords
#8 The Path of Daggers
#9 Winter's Heart
#10 Crossroads of Twilight
#11 Knife of DreamsBy Robert Jordan and Brandon Sanderson
#12 The Gathering Storm
#13 Towers of Midnight
#14 A Memory of LightBy Robert Jordan and Teresa Patterson
The World of Robert Jordan's The Wheel of TimeBy Robert Jordan, Harriet McDougal, Alan Romanczuk, and Maria Simons
The Wheel of Time CompanionBy Robert Jordan and Amy Romanczuk
Patterns of the Wheel: Coloring Art Based on Robert Jordan's The Wheel of TimeAt the Publisher's request, this title is being sold without Digital Rights Management Software (DRM) applied.",Tor Fantasy,704,"Fiction , Fantasy , Epic",9.78143E+12,English,"Jul 20, 2010"
16,My Little Pony: Friendship is Magic #83,Thom Zahler,5,3,7.84,SAR,"Twilight Sparkle receives a mysterious message about a missing turtle! Only it’s not just any turtle—it’s the most famed of racing turtles, Silver Blaze! With friendship on the line, it’s up to Twilight and Spike (armed with deerstalker caps and capes) to solve the mystery before it’s too late! Elementary, my dear fillies! It’s a brand-new Pony mystery to solve!",IDW Publishing,30,"Comics & Graphic Novels , Fantasy",Original pages,English,"Oct 16, 2019"
17,That Time I got Reincarnated as a Slime 11,Story by FUSE,5,13,43.28,SAR,"Mikami’s middle age hasn’t gone as he planned: He never found a girlfriend, he got stuck in a dead-end job, and he was abruptly stabbed to death in the street at 37. So when he wakes up in a new world straight out of a fantasy RPG, he’s disappointed but not exactly surprised to find that he’s facing down a dragon, not as a knight or a wizard but as a blind slime demon. But there are chances for even a slime to become a hero…",Kodansha America LLC,208,none,9.78165E+12,English,"Oct 15, 2019"
18,Ask A Footballer,James Milner,,,98.42,SAR,"'Ask a Footballer is a fine read, showcasing how an unassuming man has forged success, winning the Premier League twice, the FA Cup and the Champions League' Matthew Syed, The TimesEver wondered what it's REALLY like to be a Premier League footballer?

My name is James Milner and I'm not a Ribena-holic.

Let me share insights into what it's like being a professional footballer, across my different experiences with Leeds United, Newcastle, Aston Villa, Manchester City and now Liverpool (not forgetting a six-match loan spell at Swindon). Plus my highs - and a few too many lows - playing for England. There isn't a current player who's been playing Premier League football as long as I have, and that gives me a pretty rare perspective into how the top-flight game has changed over the past seventeen years.In this book, I explain how a footballer's working week unfolds - what we eat and how we prepare for matches technically, tactically, mentally and physically - and talk you through the ups and downs of a matchday. I reveal my penalty-taking techniques, half-time team talks and the differences between playing against Lionel Messi, Wilfried Zaha and Jimmy Bullard. I've played for managers ranging from Terry Venables, Peter Reid and Sir Bobby Robson to Martin O'Neill, Fabio Capello and Jurgen Klopp. I tell you what it's like sharing a training ground and a dressing-room with team-mates such as Lee Bowyer, Mario Balotelli and Mo Salah. I also reveal the behind-the-scenes work that went into Liverpool's Champions League success - and the celebrations that followed.So this isn't an autobiography. The whole point of Ask A Footballer is that you, the fans, asked me questions and I have used my own experiences to answer them. I hope you like it, and don't find it too boring.",Hachette UK,320,"Biography &amp, Autobiography , Sports",9.78153E+12,English,"Oct 31, 2019"
19,Edgedancer: From the Stormlight Archive,Brandon Sanderson,4.8,221,36.79,SAR,"From #1 New York Times bestselling author Brandon Sanderson, a special gift edition of Edgedancer, a short novel of the Stormlight Archive (previously published in Arcanum Unbounded).Three years ago, Lift asked a goddess to stop her from growing older--a wish she believed was granted. Now, in Edgedancer, the barely teenage nascent Knight Radiant finds that time stands still for no one. Although the young Azish emperor granted her safe haven from an executioner she knows only as Darkness, court life is suffocating the free-spirited Lift, who can't help heading to Yeddaw when she hears the relentless Darkness is there hunting people like her with budding powers. The downtrodden in Yeddaw have no champion, and Lift knows she must seize this awesome responsibility.
Other Tor books by Brandon Sanderson The Cosmere
 
 The Stormlight Archive
 The Way of Kings
 Words of Radiance
 Edgedancer (Novella)
 Oathbringer
 
 The Mistborn trilogy
 Mistborn: The Final Empire
 The Well of Ascension
 The Hero of Ages
 
 Mistborn: The Wax and Wayne series
 Alloy of Law
 Shadows of Self
 Bands of Mourning Collection
 Arcanum Unbounded Other Cosmere novels
 Elantris
 Warbreaker The Alcatraz vs. the Evil Librarians series
 Alcatraz vs. the Evil Librarians
 The Scrivener's Bones
 The Knights of Crystallia
 The Shattered Lens
 The Dark Talent The Rithmatist series
 The Rithmatist Other books by Brandon Sanderson

 The Reckoners
 Steelheart
 Firefight
 CalamityAt the Publisher's request, this title is being sold without Digital Rights Management Software (DRM) applied.",Tor Books,226,"Fiction , Fantasy , Military",9.78125E+12,English,"Oct 17, 2017"
20,Sonic the Hedgehog #3,Ian Flynn,4.7,281,7.84,SAR,"Sonic and Knuckles team up, and it's just like old times-until two new villains show up. With a group of villagers under attack, will even the combined forces of these two heroes be enough to take down Rough and Tumble???",IDW Publishing,32,"Comics & Graphic Novels , Science Fiction",Original pages,English,"Apr 18, 2018"
21,Ultimate Spider-Man Vol. 11: Carnage,Brian Michael Bendis,4.1,200,43.28,SAR,"Collects Ultimate Spider-Man 60-65. One of the most ruthless villains in the history of the Marvel Universe, the fan-favorite Carnage, gets the Ultimate treatment! And though young Peter Parker has proven himself time and time again on the field of battle, can even he hope to defeat this heartless killing machine?",Marvel Entertainment,144,none,9.78079E+12,English,"Jan 15, 2014"
22,The Last Wife: An absolutely gripping and emotional page turner with a brilliant twist,Nicola Marsh,4.7,7,14.96,SAR,"‘This was SOME read. Now I know what it means when people say a book was unputdownable. I just had to finish this in one sitting. It was just too good to wait until the next day… You will NOT want to miss this... Ten stars definitely!’ Netgalley reviewer, 5 stars
Trusting his family was her first mistake.
All Ria ever wanted was a family. Growing up alone in foster care, she imagined just how it would be. So when she fell in love with Grayson and had their daughter Shelley, she was determined to make his family love her too. She knew she’d never fit in with her glamorous sisters-in-law, or at the exclusive picture-perfect Chicago parties her mother-in-law threw, but with Grayson’s arm around her waist she tried her best to be a Parker.
Everything changed when Grayson disappeared.
Until one morning, Grayson leaves the house for work and never comes home. Left to raise Shelley alone, Ria is forced to turn to her husband’s family, to let her intimidating mother-in-law into her life, allow her to babysit Shelley, and accept her financial support. She tries to ignore the feeling that her sisters-in-law never thought she was good enough. They say they have no idea what happened to Grayson, and she tries very hard to believe them.
But Ria is about to learn that every Parker wife has secrets.
And protecting her daughter might come at a terrible price…
From USA Today bestseller Nicola Marsh. Utterly compelling, The Last Wife is an emotionally-charged novel about what one woman will do to survive. Perfect for fans of Liane Moriarty, Kerry Fisher and The Other Woman.
Readers love The Last Wife!‘I was hooked from the thrilling prologue straight through to that jaw-dropping finale!... Drew me in and left me craving for more… Domestic suspense that'll easily have you swiping your night away.’ Misty’s Corner Reviews, 5 stars
‘WOW. I cannot say enough about this book! This book was the definition of a page turner – the plot twists kept me hooked up until the very end! Goodreads reviewer
‘What an amazing book. I couldn't put it down. Had my attention from start to finish. plenty of suspense and twists and turns. Just when I thought I had it figured out I was proven wrong.’ Goodreads reviewer, 5 stars‘Gripped right from the start, I couldn’t turn the pages on my kindle fast enough. Everything immediately drew me in… Taken on a wild addictive ride and what a bloody great ride it is!... Wickedly twisted, highly addictive, utterly deceptive and I absolutely loved it!’ Once Upon A Time Book Blog, 5 stars
‘Wow. Just wow. From beginning to end you had no idea where this book was going… This is a must read book… At one point you are yelling at the book because darn it tell me, the ending had me shook. I was quaking. Definitely not what I was expecting.’ Goodreads reviewer, 5 stars
‘Deliciously good! I could hardly put it down. The family dynamics in this salacious drama feel like the best reality show mixed with a soap opera… I highly recommend this book to anyone.’ Goodreads reviewer, 5 stars
‘A fabulous read! There's everything here – secrets, danger, deceit… keeps you hooked right until the last page… Not giving anything away, simply to say, this is definitely a must read.’ Brook Cottage Books, 5 stars
‘I just loved this book! My second of Nicola Marsh’s books and it did not disappoint. A domestic thriller that kept me guessing until the very end… Highly recommend.’ Chapter Chatter Pub, 5 stars
‘I have read this book in less than three hours. It was quick, sharp and full of unexpected twists. Fully recommended! I will definitely reach for more books of this author.’ Goodreads reviewer, 5 stars",Bookouture,358,"Fiction , Women",9.78184E+12,English,"Oct 11, 2019"
23,The Mysterious Affair at Styles (Poirot),Agatha Christie,4.6,57,19.28,SAR,"Agatha Christie’s first ever murder mystery. With impeccable timing Hercule Poirot, the renowned Belgian detective, makes his dramatic entrance on to the English crime stage. Recently, there had been some strange goings on at Styles St Mary. Evelyn, constant companion to old Mrs Inglethorp, had stormed out of the house muttering something about ‘a lot of sharks’. And with her, something indefinable had gone from the atmosphere. Her presence had spelt security; now the air seemed rife with suspicion and impending evil. A shattered coffee cup, a splash of candle grease, a bed of begonias... all Poirot required to display his now legendary powers of detection.",HarperCollins UK,208,none,9.78001E+12,English,"Oct 14, 2010"
24,The Hitchhiker's Guide to the Galaxy: 42nd Anniversary Edition,Douglas Adams,4.6,100,32.51,SAR,"The intergalactic adventures of Arthur Dent begin in the first volume of the 'trilogy of five', Douglas Adams' comedy sci-fi classic The Hitchhiker's Guide to the Galaxy. This edition, with a metallic sheen cover, includes exclusive bonus material from the Douglas Adams archives, and an introduction by former Doctor Who showrunner, Russell T Davies.On 12 October 1979 the most remarkable book ever to come out of the great publishing corporations of Ursa Minor (and Earth) was made available to humanity - The Hitchhiker's Guide to the Galaxy.

It's an ordinary Thursday lunchtime for Arthur Dent until his house gets demolished. The Earth follows shortly afterwards to make way for a new hyperspace express route, and his best friend has just announced that he's an alien. At this moment, they're hurtling through space with nothing but their towels and an innocuous-looking book inscribed, in large friendly letters, with the words: DON'T PANIC. The weekend has only just begun . . .Follow Arthur Dent's galactic (mis)adventures in the rest of the trilogy with five parts: The Restaurant at the End of the Universe, Life, the Universe and Everything, So Long, and Thanks for All the Fish, and Mostly Harmless.",Pan Macmillan,245,"Juvenile Fiction , Humorous Stories",9.78033E+12,English,"Sep 1, 2009"
25,"Prince of Thorns (The Broken Empire, Book 1)",Mark Lawrence,4.2,408,24.94,SAR,"From the publisher that brought you Game of Thrones... Prince of Thorns is the first volume in a powerful epic fantasy trilogy, original, absorbing and challenging. Before the thorns taught me their sharp lessons and bled weakness from me I had but one brother, and I loved him well. But those days are gone and what is left of them lies in my mother's tomb. Now I have many brothers, quick with knife and sword, and as evil as you please. We ride this broken empire and loot its corpse. They say these are violent times, the end of days when the dead roam and monsters haunt the night. All that's true enough, but there's something worse out there, in the dark. Much worse. From being a privileged royal child, raised by a loving mother, Jorg Ancrath has become the Prince of Thorns, a charming, immoral boy leading a grim band of outlaws in a series of raids and atrocities. The world is in chaos: violence is rife, nightmares everywhere. Jorg has the ability to master the living and the dead, but there is still one thing that puts a chill in him. Returning to his father's castle Jorg must confront horrors from his childhood and carve himself a future with all hands turned against him. Mark Lawrence's debut novel tells a tale of blood and treachery, magic and brotherhood and paints a compelling and brutal, and sometimes beautiful, picture of an exceptional boy on his journey toward manhood and the throne.",HarperCollins UK,416,"Fiction , Classics",9.78001E+12,English,"Aug 4, 2011"
26,Influence: The Psychology of Persuasion,"Robert B. Cialdini, PhD",4.3,288,56.14,SAR,"Influence, the classic book on persuasion, explains the psychology of why people say ""yes""—and how to apply these understandings. Dr. Robert Cialdini is the seminal expert in the rapidly expanding field of influence and persuasion. His thirty-five years of rigorous, evidence-based research along with a three-year program of study on what moves people to change behavior has resulted in this highly acclaimed book. You'll learn the six universal principles, how to use them to become a skilled persuader—and how to defend yourself against them. Perfect for people in all walks of life, the principles of Influence will move you toward profound personal change and act as a driving force for your success.Some images that appeared in the print edition of this book are unavailable in the electronic edition due to rights reasons.",Harper Collins,336,"Business &amp, Economics , Motivational",9.78006E+12,English,"Jun 2, 2009"
27,Critical Role Vox Machina: Origins: Volume 1,Matthew Mercer,5,15,66.9,SAR,"From the creators of the hit show ""Critical Role"" comes Vox Machina's origin story! Writers Matthew Mercer and Matthew Colville team with artist extraordinaire Olivia Samson and colorist Chris Northrop to bring you the story of where the heroes' journey began.

The band of adventurers known as Vox Machina will save the world. Eventually. But even they have to start somewhere.

Six would-be heroes on seemingly different jobs find their paths intertwined as they investigate shady business in the swamp town of Stilben. They'll need to put their heads-- and weapons--together to figure out what's going on...and keep from being killed in the process. Even then, whether or not they can overcome what truly lurks at the bottom of the town's travails remains to be seen! 

Collects Critical Role Vox Machina: Origins comics issues #1-6, one of the best selling digital comics ever!",Dark Horse Comics,168,none,9.78151E+12,English,"Oct 15, 2019"
28,Introducing Critical Theory: A Graphic Guide,Stuart Sim,3.7,3,23.4,SAR,"The last few decades have seen an explosion in the production of critical theories, with deconstructionists, poststructuralists, postmodernists, second-wave feminists, new historicists, cultural materialists, postcolonialists, black critics and queer theorists, among a host of others, all vying for our attention. The world around us can look very different on the critical theory applied to it. This vast range of interpretations can leave one feeling confused and frustrated. This book provides a route through the tangled jungle of competing theories.",Icon Books,176,"Social Science , General",9.78184E+12,English,"Jan 1, 2004"
